"datetime","season","returnMonth","returnHour","returnWeekday","temperature","humidity","rainfall","returnCount"
2013-01-11 13:00:00,"4","1","13","Fri",0.6,54,0,0
2013-01-11 14:00:00,"4","1","14","Fri",1.4,52,0,0
2013-01-11 15:00:00,"4","1","15","Fri",1.7,54,0,0
2013-01-11 16:00:00,"4","1","16","Fri",1.2,53,0,0
2013-01-11 17:00:00,"4","1","17","Fri",0.3,57,0,0
2013-01-11 18:00:00,"4","1","18","Fri",-0.7,60,0,0
2013-01-11 19:00:00,"4","1","19","Fri",-1.3,63,0,1
2013-01-11 20:00:00,"4","1","20","Fri",-2,66,0,1
2013-01-11 21:00:00,"4","1","21","Fri",-2.8,73,0,0
2013-01-11 22:00:00,"4","1","22","Fri",-3.2,73,0,0
2013-01-11 23:00:00,"4","1","23","Fri",-3.3,77,0,0
2013-01-12 00:00:00,"4","1","0","Sat",-3.9,79,0,0
2013-01-12 01:00:00,"4","1","1","Sat",-4.2,81,0,0
2013-01-12 02:00:00,"4","1","2","Sat",-5.2,84,0,0
2013-01-12 03:00:00,"4","1","3","Sat",-5.2,85,0,0
2013-01-12 04:00:00,"4","1","4","Sat",-5.7,87,0,0
2013-01-12 05:00:00,"4","1","5","Sat",-5.2,84,0,0
2013-01-12 06:00:00,"4","1","6","Sat",-4.5,82,0,0
2013-01-12 07:00:00,"4","1","7","Sat",-4.3,83,0,0
2013-01-12 08:00:00,"4","1","8","Sat",-4,82,0,1
2013-01-12 09:00:00,"4","1","9","Sat",-3.2,83,0,0
2013-01-12 10:00:00,"4","1","10","Sat",-1.3,74,0,0
2013-01-12 11:00:00,"4","1","11","Sat",1.8,70,0,0
2013-01-12 12:00:00,"4","1","12","Sat",4.5,70,0,0
2013-01-12 13:00:00,"4","1","13","Sat",6.1,65,0,4
2013-01-12 14:00:00,"4","1","14","Sat",6.2,64,0,0
2013-01-12 15:00:00,"4","1","15","Sat",6.3,62,0,0
2013-01-12 16:00:00,"4","1","16","Sat",5.6,67,0,0
2013-01-12 17:00:00,"4","1","17","Sat",4.7,73,0,0
2013-01-12 18:00:00,"4","1","18","Sat",3.5,78,0,0
